"id","cyberball","focus","ostracism_condition","self_other_condition","ios_condition","ios_outcome","outcome","cause_self","cause_other","stability_value","locus_value","stability","locus"
3,2,2,"excluded","green","group_green_other",5,6,NA,"They did well at interview",3,4,"stability_other6","locus_other6"
3,2,2,"excluded","green","group_green_other",5,7,NA,"Green looks nice",4,4,"stability_other7","locus_other7"
3,2,2,"excluded","green","group_green_other",5,8,NA,"They worked hard",3,4,"stability_other8","locus_other8"
3,2,2,"excluded","green","group_green_other",5,9,NA,"They worked hard",3,4,"stability_other9","locus_other9"
3,2,2,"excluded","green","group_green_other",5,10,NA,"They have been kind",4.5,4,"stability_other10","locus_other10"
4,1,1,"included","yellow","group_yellow_own",1,1,"Member of group Yellow made a mistake",NA,4,2.5,"stability_self1","locus_self1"
4,1,1,"included","yellow","group_yellow_own",1,2,"Member of group Yellow is stressed and has taken on too much work",NA,3.5,2,"stability_self2","locus_self2"
4,1,1,"included","yellow","group_yellow_own",1,3,"The member of group Yellow struggled to articulate their points in the right manner, so there was misunderstanding and so the talk was not well received",NA,4.5,2.5,"stability_self3","locus_self3"
4,1,1,"included","yellow","group_yellow_own",1,4,"The person that the member of group Yellow met with was not who they claimed to be and was a negative and abusive person towards member of group Yellow",NA,4.5,4.5,"stability_self4","locus_self4"
4,1,1,"included","yellow","group_yellow_own",1,5,"Member of group Yellow does not wish to get involved in this drama as it will end up with the friend not listening and blaming them for their input",NA,4,4,"stability_self5","locus_self5"
4,1,1,"included","yellow","group_yellow_own",1,6,"Member of group Yellow did their research and so performed well in the interview",NA,2.5,3,"stability_self6","locus_self6"
4,1,1,"included","yellow","group_yellow_own",1,7,"Member of group Yellow tried something new with their hair",NA,4,2.5,"stability_self7","locus_self7"
4,1,1,"included","yellow","group_yellow_own",1,8,"Member of group Yellow worked hard consistently over the years and is finally getting recognition deserved",NA,2,2.5,"stability_self8","locus_self8"
4,1,1,"included","yellow","group_yellow_own",1,9,"Member of group Yellow worked hard on this project and their intellect and hard work has been recognized",NA,4,2,"stability_self9","locus_self9"
4,1,1,"included","yellow","group_yellow_own",1,10,"Partner has finally recognized the care and consideration that member of group Yellow puts into every task and is showing appreciation",NA,4.5,3.5,"stability_self10","locus_self10"
5,2,1,"excluded","yellow","group_yellow_own",4,1,"The friend is jealous of Yellow's success",NA,4,2.5,"stability_self1","locus_self1"
5,2,1,"excluded","yellow","group_yellow_own",4,2,"Had unrealistic expectations put on them",NA,4.5,2.5,"stability_self2","locus_self2"
5,2,1,"excluded","yellow","group_yellow_own",4,3,"Yellow misunderstood their audience, and pitched their talk the wrong way",NA,4,4,"stability_self3","locus_self3"
5,2,1,"excluded","yellow","group_yellow_own",4,4,"Yellow was treated unfairly and pre-judged",NA,2,2,"stability_self4","locus_self4"
5,2,1,"excluded","yellow","group_yellow_own",4,5,"Yellow is very busy and has important priorities to do",NA,5,4,"stability_self5","locus_self5"
5,2,1,"excluded","yellow","group_yellow_own",4,6,"Yellow had the best skills of anyone that applied",NA,3,3.5,"stability_self6","locus_self6"
5,2,1,"excluded","yellow","group_yellow_own",4,7,"Yellow has put a lot of effort into looking nice and grooming themself",NA,1,4.5,"stability_self7","locus_self7"
5,2,1,"excluded","yellow","group_yellow_own",4,8,"Taking on new responsibilities at work",NA,2,3.5,"stability_self8","locus_self8"
5,2,1,"excluded","yellow","group_yellow_own",4,9,"Excellent work on project",NA,2,3.5,"stability_self9","locus_self9"
5,2,1,"excluded","yellow","group_yellow_own",4,10,"Yellow and their partner are maturing, and they are being appreciated for their good qualities.",NA,2,4.5,"stability_self10","locus_self10"
6,2,1,"excluded","yellow","group_yellow_own",1,1,"Possibly he was not in same group as his friends, and his friend feel defeated.",NA,3,5,"stability_self1","locus_self1"
6,2,1,"excluded","yellow","group_yellow_own",1,2,"A member of group yellow not completing the work they are supposed to do means, he was depressed at some point.",NA,2,4.5,"stability_self2","locus_self2"
6,2,1,"excluded","yellow","group_yellow_own",1,3,"The main cause of the outcome is because the audience feels a member of the group yellow is a failure.",NA,1.5,5,"stability_self3","locus_self3"
6,2,1,"excluded","yellow","group_yellow_own",1,4,"The main cause of the outcome is because, a member of the group yellow already feels dejected.",NA,3,1,"stability_self4","locus_self4"
6,2,1,"excluded","yellow","group_yellow_own",1,5,"Not trying to help could be as a result of rejection a member of the group yellow had.",NA,3,3.5,"stability_self5","locus_self5"
6,2,1,"excluded","yellow","group_yellow_own",1,6,"The main cause of this outcome is that a member of the group is building his self confident.",NA,3,1.5,"stability_self6","locus_self6"
6,2,1,"excluded","yellow","group_yellow_own",1,7,"It will boast the moral of the member of the group yellow.",NA,3,4,"stability_self7","locus_self7"
6,2,1,"excluded","yellow","group_yellow_own",1,8,"Getting a raise will serve as a motivation to any member of the group yellow.",NA,4,4.5,"stability_self8","locus_self8"
6,2,1,"excluded","yellow","group_yellow_own",1,9,"The main cause of this outcome is that, a member of the group yellow is trying to impress everyone and change their opinion.",NA,3,3,"stability_self9","locus_self9"
6,2,1,"excluded","yellow","group_yellow_own",1,10,"If a member of group yellow was treated lovingly by their partner, it means he was lucky.",NA,3,3.5,"stability_self10","locus_self10"
7,1,2,"included","green","group_green_other",3,1,NA,"they may have wronged the friend",3.5,3.5,"stability_other1","locus_other1"
7,1,2,"included","green","group_green_other",3,2,NA,"they may have already taken on too much work",4.5,4,"stability_other2","locus_other2"
7,1,2,"included","green","group_green_other",3,3,NA,"the individual wasn't a good speaker",4.5,5,"stability_other3","locus_other3"
7,1,2,"included","green","group_green_other",3,4,NA,"they may not have much in common with the other individual",4.5,5,"stability_other4","locus_other4"
7,1,2,"included","green","group_green_other",3,5,NA,"they do not feel like taking on the problem",4,3,"stability_other5","locus_other5"
7,1,2,"included","green","group_green_other",3,6,NA,"they had the drive and determination to do what it takes to get the job",3,2.5,"stability_other6","locus_other6"
7,1,2,"included","green","group_green_other",3,7,NA,"they are attractive",2.5,5,"stability_other7","locus_other7"
7,1,2,"included","green","group_green_other",3,8,NA,"they worked hard",3,5,"stability_other8","locus_other8"
7,1,2,"included","green","group_green_other",3,9,NA,"the project was done to a high quality",2.5,3,"stability_other9","locus_other9"
7,1,2,"included","green","group_green_other",3,10,NA,"They are a nicer individual",4,5,"stability_other10","locus_other10"
8,2,1,"excluded","yellow","group_yellow_own",2,1,"Perhaps they have had a falling out/disagreement or they simply don't like each other. ",NA,5,4,"stability_self1","locus_self1"
8,2,1,"excluded","yellow","group_yellow_own",2,2,"They are overloaded with work and have too much to do in a given time frame. Prehaps Yellow is not good at saying no which is why they have so much work to do",NA,4.5,2,"stability_self2","locus_self2"
8,2,1,"excluded","yellow","group_yellow_own",2,3,"The audience do not agree with the topic of the talk or the member is giving a talk about a controversial topic. ",NA,2.5,3,"stability_self3","locus_self3"
8,2,1,"excluded","yellow","group_yellow_own",2,4,"Perhaps they had a disagreement/something bad happens whilst meeting",NA,5,3,"stability_self4","locus_self4"
8,2,1,"excluded","yellow","group_yellow_own",2,5,"Perhaps Yellow was also having a bad day or they felt that their prior experiences/skill set was not useful in this situation",NA,4,1.5,"stability_self5","locus_self5"
8,2,1,"excluded","yellow","group_yellow_own",2,6,"They tried hard in the application process and was the correct candidate for the position.",NA,1,2,"stability_self6","locus_self6"
8,2,1,"excluded","yellow","group_yellow_own",2,7,"Yellow looks good and the other person wants to be a nice person and compliment them to make Yellow feel good. ",NA,1,4,"stability_self7","locus_self7"
8,2,1,"excluded","yellow","group_yellow_own",2,8,"They have been working hard and their hard work has been recognized and praised with a raise",NA,1,1.5,"stability_self8","locus_self8"
8,2,1,"excluded","yellow","group_yellow_own",2,9,"They worked hard on the project and the project was clever/useful to the company and the hard work has been recognised and praised. ",NA,1,1.5,"stability_self9","locus_self9"
8,2,1,"excluded","yellow","group_yellow_own",2,10,"They are in a loving and happy relationship",NA,2.5,3.5,"stability_self10","locus_self10"
9,1,1,"included","yellow","group_yellow_own",3,1,"The member was previously hostile, and the friend is reacting",NA,5,3,"stability_self1","locus_self1"
9,1,1,"included","yellow","group_yellow_own",3,2,"Lazy",NA,3,1,"stability_self2","locus_self2"
9,1,1,"included","yellow","group_yellow_own",3,3,"The talk was about a topic that the audience was not interested in, or perhaps actively was against/disliked.",NA,5,5,"stability_self3","locus_self3"
9,1,1,"included","yellow","group_yellow_own",3,4,"The other individual did not vibe well",NA,4,5,"stability_self4","locus_self4"
9,1,1,"included","yellow","group_yellow_own",3,5,"They don't know how they can help effectively",NA,5,2,"stability_self5","locus_self5"
9,1,1,"included","yellow","group_yellow_own",3,6,"Everyone else that applied did worse, or was less suited to the position.",NA,2,3,"stability_self6","locus_self6"
9,1,1,"included","yellow","group_yellow_own",3,7,"They looked good",NA,4,1,"stability_self7","locus_self7"
9,1,1,"included","yellow","group_yellow_own",3,8,"They performed well in their role",NA,4.5,1,"stability_self8","locus_self8"
9,1,1,"included","yellow","group_yellow_own",3,9,"The project was well executed",NA,3,1,"stability_self9","locus_self9"
9,1,1,"included","yellow","group_yellow_own",3,10,"They have a partner in the first place",NA,3,4,"stability_self10","locus_self10"
10,1,2,"included","green","group_green_other",2,1,NA,"green did something to annoy them ",4,2,"stability_other1","locus_other1"
10,1,2,"included","green","group_green_other",2,2,NA,"green got given too much work ",5,5,"stability_other2","locus_other2"
10,1,2,"included","green","group_green_other",2,3,NA,"green gave a controversial point of view",5,5,"stability_other3","locus_other3"
10,1,2,"included","green","group_green_other",2,4,NA,"green did something to annoy them",5,2,"stability_other4","locus_other4"
10,1,2,"included","green","group_green_other",2,5,NA,"green is busy",5,1,"stability_other5","locus_other5"
10,1,2,"included","green","group_green_other",2,6,NA,"green prepared well for the job application process and interview",1,1,"stability_other6","locus_other6"
10,1,2,"included","green","group_green_other",2,7,NA,"green looks good ",5,3,"stability_other7","locus_other7"
10,1,2,"included","green","group_green_other",2,8,NA,"green worked hard",3,1,"stability_other8","locus_other8"
10,1,2,"included","green","group_green_other",2,9,NA,"green worked hard ",5,1,"stability_other9","locus_other9"
10,1,2,"included","green","group_green_other",2,10,NA,"the partner loves green ",3,5,"stability_other10","locus_other10"
11,1,2,"included","green","group_green_other",2,1,NA,"Money",3,3,"stability_other1","locus_other1"
11,1,2,"included","green","group_green_other",2,2,NA,"Laziness",3,3,"stability_other2","locus_other2"
11,1,2,"included","green","group_green_other",2,3,NA,"Confidence",3,3,"stability_other3","locus_other3"
11,1,2,"included","green","group_green_other",2,4,NA,"Attitude",3,3,"stability_other4","locus_other4"
11,1,2,"included","green","group_green_other",2,5,NA,"Apathy",3,3,"stability_other5","locus_other5"
11,1,2,"included","green","group_green_other",2,6,NA,"Luck",3,3,"stability_other6","locus_other6"
11,1,2,"included","green","group_green_other",2,7,NA,"Friendship",3,3,"stability_other7","locus_other7"
11,1,2,"included","green","group_green_other",2,8,NA,"Effort",3,3,"stability_other8","locus_other8"
11,1,2,"included","green","group_green_other",2,9,NA,"Effort",3,3,"stability_other9","locus_other9"
11,1,2,"included","green","group_green_other",2,10,NA,"Money",3,3,"stability_other10","locus_other10"
12,2,2,"excluded","green","group_green_other",6,1,NA,"The friend is in a bad mood",5,5,"stability_other1","locus_other1"
12,2,2,"excluded","green","group_green_other",6,2,NA,"They wasted time ",4,2,"stability_other2","locus_other2"
12,2,2,"excluded","green","group_green_other",6,3,NA,"The talk is controversial ",5,3,"stability_other3","locus_other3"
12,2,2,"excluded","green","group_green_other",6,4,NA,"They don’t listen ",4,2,"stability_other4","locus_other4"
12,2,2,"excluded","green","group_green_other",6,5,NA,"They are selfish",4,1,"stability_other5","locus_other5"
12,2,2,"excluded","green","group_green_other",6,6,NA,"They are good at interviews",3,2,"stability_other6","locus_other6"
12,2,2,"excluded","green","group_green_other",6,7,NA,"They are attractive",4,2,"stability_other7","locus_other7"
12,2,2,"excluded","green","group_green_other",6,8,NA,"They worked hard",4,3,"stability_other8","locus_other8"
12,2,2,"excluded","green","group_green_other",6,9,NA,"They worked hard ",2,2,"stability_other9","locus_other9"
12,2,2,"excluded","green","group_green_other",6,10,NA,"They are in a strong relationship ",2,2,"stability_other10","locus_other10"
13,1,2,"included","green","group_green_other",2,1,NA,"Social media drama",5,3,"stability_other1","locus_other1"
13,1,2,"included","green","group_green_other",2,2,NA,"Anxiety, difficulty focusing",2,1,"stability_other2","locus_other2"
13,1,2,"included","green","group_green_other",2,3,NA,"Member of group Green failed to read the room, got too self-absorbed in writing their talk",3,1,"stability_other3","locus_other3"
13,1,2,"included","green","group_green_other",2,4,NA,"Anxiety caused by social distancing",3,4,"stability_other4","locus_other4"
13,1,2,"included","green","group_green_other",2,5,NA,"General anxiety causing the member of group Green to keep others at an arm's length when asked for help",2.5,1,"stability_other5","locus_other5"
13,1,2,"included","green","group_green_other",2,6,NA,"The member of group Green worked really hard at figuring out what the hiring manager wanted, and giving all the right answers",2,3,"stability_other6","locus_other6"
13,1,2,"included","green","group_green_other",2,7,NA,"The friend is trying to be kind to others in general",3,5,"stability_other7","locus_other7"
13,1,2,"included","green","group_green_other",2,8,NA,"Work that the member of group Green did that had gone unrecognized, due to a now fixed technical problem is suddenly recognized",1.5,3,"stability_other8","locus_other8"
13,1,2,"included","green","group_green_other",2,9,NA,"They worked hard on the project",1,1,"stability_other9","locus_other9"
13,1,2,"included","green","group_green_other",2,10,NA,"Because they're going through a rough time",4,3.5,"stability_other10","locus_other10"
14,1,1,"included","yellow","group_yellow_own",4,1,"The other person has just had a break up.",NA,4.5,4.5,"stability_self1","locus_self1"
14,1,1,"included","yellow","group_yellow_own",4,2,"They have other things going on.",NA,4.5,3,"stability_self2","locus_self2"
14,1,1,"included","yellow","group_yellow_own",4,3,"They audience wasn't appropriate,",NA,3.5,3.5,"stability_self3","locus_self3"
14,1,1,"included","yellow","group_yellow_own",4,4,"They didn't get on with each other.",NA,2.5,3,"stability_self4","locus_self4"
14,1,1,"included","yellow","group_yellow_own",4,5,"They don't have time to listen or help.",NA,4.5,3,"stability_self5","locus_self5"
14,1,1,"included","yellow","group_yellow_own",4,6,"The interviewer was having a good day.",NA,4,3.5,"stability_self6","locus_self6"
14,1,1,"included","yellow","group_yellow_own",4,7,"They look nice that day.",NA,3.5,2.5,"stability_self7","locus_self7"
14,1,1,"included","yellow","group_yellow_own",4,8,"They have performed better.",NA,3.5,2,"stability_self8","locus_self8"
14,1,1,"included","yellow","group_yellow_own",4,9,"They have worked hard.",NA,2,2,"stability_self9","locus_self9"
14,1,1,"included","yellow","group_yellow_own",4,10,"They are more friendly and equal.",NA,3,1.5,"stability_self10","locus_self10"
15,1,1,"included","yellow","group_yellow_own",4,1,"The member of group Yellow may have done something wrong to cause the friend to act this way.",NA,3,3,"stability_self1","locus_self1"
15,1,1,"included","yellow","group_yellow_own",4,2,"They haven't got enough time to complete the work (perhaps their fault) ",NA,3.5,1,"stability_self2","locus_self2"
15,1,1,"included","yellow","group_yellow_own",4,3,"The member of group Yellow may have spoken about something controversial that people did not agree with. ",NA,1.5,2,"stability_self3","locus_self3"
15,1,1,"included","yellow","group_yellow_own",4,4,"They got hurt ",NA,3.5,3,"stability_self4","locus_self4"
15,1,1,"included","yellow","group_yellow_own",4,5,"Maybe they feel like getting involved would not be the best option (maybe due to a conflict of interest)",NA,3,3,"stability_self5","locus_self5"
15,1,1,"included","yellow","group_yellow_own",4,6,"They were most qualified for the job and also seemed very passionate about the position. ",NA,2.5,1,"stability_self6","locus_self6"
15,1,1,"included","yellow","group_yellow_own",4,7,"Well the friend must have thought that the member of group Yellow was deserving of said compliment. ",NA,5,5,"stability_self7","locus_self7"
15,1,1,"included","yellow","group_yellow_own",4,8,"They worked hard.",NA,2,2.5,"stability_self8","locus_self8"
15,1,1,"included","yellow","group_yellow_own",4,9,"The project was well organised and thought out. ",NA,2.5,1,"stability_self9","locus_self9"
15,1,1,"included","yellow","group_yellow_own",4,10,"Things are going well between the pair; they must be happy. ",NA,4,2,"stability_self10","locus_self10"
16,2,2,"excluded","green","group_green_other",4,1,NA,"The friend may feel offended at what the group Green member does ",5,3.5,"stability_other1","locus_other1"
16,2,2,"excluded","green","group_green_other",4,2,NA,"The member may be facing personal issues at home or in school.",3,3.5,"stability_other2","locus_other2"
16,2,2,"excluded","green","group_green_other",4,3,NA,"The audience does not like the tone of the member's speech.",4,5,"stability_other3","locus_other3"
16,2,2,"excluded","green","group_green_other",4,4,NA,"Both parties have different outlook on the topics they were talking about",5,4.5,"stability_other4","locus_other4"
16,2,2,"excluded","green","group_green_other",4,5,NA,"The member may be busy with his work and was not able to help out as a result.",4,5,"stability_other5","locus_other5"
16,2,2,"excluded","green","group_green_other",4,6,NA,"The member has the necessary qualifications for the job.",5,5,"stability_other6","locus_other6"
16,2,2,"excluded","green","group_green_other",4,7,NA,"The member of the group became prettier/more handsome ",5,5,"stability_other7","locus_other7"
16,2,2,"excluded","green","group_green_other",4,8,NA,"The member did a good job in his work.",5,2,"stability_other8","locus_other8"
16,2,2,"excluded","green","group_green_other",4,9,NA,"The member has a better project idea than the rest of the group",5,3.5,"stability_other9","locus_other9"
16,2,2,"excluded","green","group_green_other",4,10,NA,"The main cause could be that this member of group Green plays the cyberball better than the rest.",3.5,3.5,"stability_other10","locus_other10"
17,2,2,"excluded","green","group_green_other",7,1,NA,"The friend is unhappy",5,3.5,"stability_other1","locus_other1"
17,2,2,"excluded","green","group_green_other",7,2,NA,"They don't have time",5,3,"stability_other2","locus_other2"
17,2,2,"excluded","green","group_green_other",7,3,NA,"They weren't a good speaker",3.5,2,"stability_other3","locus_other3"
17,2,2,"excluded","green","group_green_other",7,4,NA,"They aren't compatible people",3,3.5,"stability_other4","locus_other4"
17,2,2,"excluded","green","group_green_other",7,5,NA,"They don't have time",5,2,"stability_other5","locus_other5"
17,2,2,"excluded","green","group_green_other",7,6,NA,"They deserve the job",3,2,"stability_other6","locus_other6"
17,2,2,"excluded","green","group_green_other",7,7,NA,"They look nice",5,3,"stability_other7","locus_other7"
17,2,2,"excluded","green","group_green_other",7,8,NA,"They have done good work",1,3,"stability_other8","locus_other8"
17,2,2,"excluded","green","group_green_other",7,9,NA,"They did good work",4,2.5,"stability_other9","locus_other9"
17,2,2,"excluded","green","group_green_other",7,10,NA,"Their partner is happy with the relationship",3.5,2.5,"stability_other10","locus_other10"
18,1,2,"included","green","group_green_other",5,1,NA,"The friend holds a grudge against the member of group green",4,1.5,"stability_other1","locus_other1"
18,1,2,"included","green","group_green_other",5,2,NA,"The member is stressed out due to outside factors/personal issues",4.5,2,"stability_other2","locus_other2"
18,1,2,"included","green","group_green_other",5,3,NA,"The main cause for this outcome is because the member of group green did not choose their words correctly and lacked awareness and handling of the situation",4,4.5,"stability_other3","locus_other3"
18,1,2,"included","green","group_green_other",5,4,NA,"They got into an argument over differences which resulted in a divide between both of them",4,4,"stability_other4","locus_other4"
18,1,2,"included","green","group_green_other",5,5,NA,"The member of group green has their own share of issues that they are struggling to deal with.",5,4.5,"stability_other5","locus_other5"
18,1,2,"included","green","group_green_other",5,6,NA,"The main cause for this outcome is because the member of group green was determined and motivated to get the job.",4.5,2,"stability_other6","locus_other6"
18,1,2,"included","green","group_green_other",5,7,NA,"The member of group green had changed up their appearance recently",3.5,2,"stability_other7","locus_other7"
18,1,2,"included","green","group_green_other",5,8,NA,"The main cause of this outcome is because the member demonstrated continued effort and improvement over periods of time.",1.5,2.5,"stability_other8","locus_other8"
18,1,2,"included","green","group_green_other",5,9,NA,"The member put continual effort and hard work into the project which eventually paaid off.",1.5,1.5,"stability_other9","locus_other9"
18,1,2,"included","green","group_green_other",5,10,NA,"The member and their partner are clearly more affectionate and passionate about eachother",1.5,5,"stability_other10","locus_other10"
19,1,2,"included","green","group_green_other",1,1,NA,"They are friends and they want to pass the disc/ball to each other I suppose.",2.5,3,"stability_other1","locus_other1"
19,1,2,"included","green","group_green_other",1,2,NA,"They could be lazy or they are tired and have not followed the rules.",5,3,"stability_other2","locus_other2"
19,1,2,"included","green","group_green_other",1,3,NA,"The audience wants to carry on seeing the game instead of listening.",1,4.5,"stability_other3","locus_other3"
19,1,2,"included","green","group_green_other",1,4,NA,"The member in the team is probably a negative person.",5,5,"stability_other4","locus_other4"
19,1,2,"included","green","group_green_other",1,5,NA,"They member is selfish and want's everything for himself.",5,3,"stability_other5","locus_other5"
19,1,2,"included","green","group_green_other",1,6,NA,"They have deserved the job and worked hard for it.",1,1,"stability_other6","locus_other6"
19,1,2,"included","green","group_green_other",1,7,NA,"The member of the green team is handsome possibly.",4.5,2,"stability_other7","locus_other7"
19,1,2,"included","green","group_green_other",1,8,NA,"The member deserves the raise as he possibly has worked really hard.",1,1.5,"stability_other8","locus_other8"
19,1,2,"included","green","group_green_other",1,9,NA,"The member in the green team is hardworking.",1,1,"stability_other9","locus_other9"
19,1,2,"included","green","group_green_other",1,10,NA,"Maybe because the member in the green team could be female.",2.5,4,"stability_other10","locus_other10"
20,2,1,"excluded","yellow","group_yellow_own",5,1,"The member of group yellow has done something to hurt the friend. ",NA,5,1,"stability_self1","locus_self1"
20,2,1,"excluded","yellow","group_yellow_own",5,2,"The member of group yellow was not given enough time to complete the work they were expected to do. ",NA,4.5,4,"stability_self2","locus_self2"
20,2,1,"excluded","yellow","group_yellow_own",5,3,"The yellow team member does not fit in with the type of people in the audience. ",NA,2,4,"stability_self3","locus_self3"
20,2,1,"excluded","yellow","group_yellow_own",5,4,"The two personalities do not fit well together.",NA,3,3,"stability_self4","locus_self4"
20,2,1,"excluded","yellow","group_yellow_own",5,5,"The member of group yellow is not a very caring person. ",NA,3,1,"stability_self5","locus_self5"
20,2,1,"excluded","yellow","group_yellow_own",5,6,"The member of group yellow got the job because of their passion for it. ",NA,3.5,1,"stability_self6","locus_self6"
20,2,1,"excluded","yellow","group_yellow_own",5,7,"The member of group yellow has a kind friend.",NA,2.5,5,"stability_self7","locus_self7"
20,2,1,"excluded","yellow","group_yellow_own",5,8,"The member of group yellow did something positive to achieve the raise. ",NA,4,2,"stability_self8","locus_self8"
20,2,1,"excluded","yellow","group_yellow_own",5,9,"The member of group yellow put a lot of work into their project.",NA,4,1,"stability_self9","locus_self9"
20,2,1,"excluded","yellow","group_yellow_own",5,10,"The member of group yellow is more loving toward their partner, so get's the same in return. ",NA,3,2,"stability_self10","locus_self10"
21,2,1,"excluded","yellow","group_yellow_own",5,1,"I think the cause is that the Yellow member must have done something to make their friend act hostile.",NA,4.5,2,"stability_self1","locus_self1"
21,2,1,"excluded","yellow","group_yellow_own",5,2,"The Yellow member had poor time management when it came to completing this task.",NA,4.5,2.5,"stability_self2","locus_self2"
21,2,1,"excluded","yellow","group_yellow_own",5,3,"The Yellow member has a non-favorable message in their talk.",NA,2.5,2,"stability_self3","locus_self3"
21,2,1,"excluded","yellow","group_yellow_own",5,4,"The personality of the two does not mesh well.",NA,3.5,4.5,"stability_self4","locus_self4"
21,2,1,"excluded","yellow","group_yellow_own",5,5,"The Yellow member is upset with the friend do to the situation involving the problem.",NA,5,3,"stability_self5","locus_self5"
21,2,1,"excluded","yellow","group_yellow_own",5,6,"Yellow's determination was proven to the person hiring them.",NA,2.5,1.5,"stability_self6","locus_self6"
21,2,1,"excluded","yellow","group_yellow_own",5,7,"I think the main cause of this interaction is the friendly, approachable vibes given off by Yellow.",NA,3,2,"stability_self7","locus_self7"
21,2,1,"excluded","yellow","group_yellow_own",5,8,"The Yellow member has worked hard and done well at their job.",NA,3,1,"stability_self8","locus_self8"
21,2,1,"excluded","yellow","group_yellow_own",5,9,"The Yellow member has worked hard on this project.",NA,3,1.5,"stability_self9","locus_self9"
21,2,1,"excluded","yellow","group_yellow_own",5,10,"I think the Yellow member has treated their partner well and earned this love.",NA,4,2.5,"stability_self10","locus_self10"
22,2,1,"excluded","yellow","group_yellow_own",7,1,"They probably got into an argument previously.",NA,5,2,"stability_self1","locus_self1"
22,2,1,"excluded","yellow","group_yellow_own",7,2,"They have procrastinated.",NA,5,1,"stability_self2","locus_self2"
22,2,1,"excluded","yellow","group_yellow_own",7,3,"What they said was probably not very good in the context it was being given in.",NA,5,2,"stability_self3","locus_self3"
22,2,1,"excluded","yellow","group_yellow_own",7,4,"The Yellow group member probably didn't get on with the person they met.",NA,3.5,2,"stability_self4","locus_self4"
